time (s),Parameter,dV(out),dV(vdd)
2.500000e-09,R1,-1.560759e-05,0.000000e+00
2.500000e-09,M1_W,7.804129e+04,0.000000e+00
2.500000e-09,M1_L,-1.560826e+05,-0.000000e+00
2.500000e-09,M1_VTO,-3.879115e-02,-0.000000e+00
2.500000e-09,M1_KP,1.560826e+03,0.000000e+00
2.500000e-09,M1_MU,0.000000e+00,0.000000e+00
2.500000e-09,M1_COX,0.000000e+00,0.000000e+00
2.500000e-09,C1,2.322676e+08,0.000000e+00
2.600000e-09,V1,3.509426e-02,1.000000e+00
2.600000e-09,V2,-3.879018e-02,0.000000e+00
2.600000e-09,R1,-1.560762e-05,0.000000e+00
2.600000e-09,M1_W,7.803946e+04,0.000000e+00
2.600000e-09,M1_L,-1.560789e+05,-0.000000e+00
2.600000e-09,M1_VTO,-3.879018e-02,-0.000000e+00
2.600000e-09,M1_KP,1.560789e+03,0.000000e+00
2.600000e-09,M1_MU,0.000000e+00,0.000000e+00
2.600000e-09,M1_COX,0.000000e+00,0.000000e+00
2.600000e-09,C1,9.378327e+07,0.000000e+00
2.700000e-09,V1,3.509425e-02,1.000000e+00
2.700000e-09,V2,-3.878978e-02,0.000000e+00
2.700000e-09,R1,-1.560764e-05,0.000000e+00
2.700000e-09,M1_W,7.803872e+04,0.000000e+00
2.700000e-09,M1_L,-1.560774e+05,-0.000000e+00
2.700000e-09,M1_VTO,-3.878978e-02,-0.000000e+00
2.700000e-09,M1_KP,1.560774e+03,0.000000e+00
2.700000e-09,M1_MU,0.000000e+00,0.000000e+00
2.700000e-09,M1_COX,0.000000e+00,0.000000e+00
2.700000e-09,C1,3.786694e+07,0.000000e+00
2.800000e-09,V1,3.509424e-02,1.000000e+00
2.800000e-09,V2,-3.878962e-02,0.000000e+00
2.800000e-09,R1,-1.560764e-05,0.000000e+00
2.800000e-09,M1_W,7.803842e+04,0.000000e+00
2.800000e-09,M1_L,-1.560768e+05,-0.000000e+00
2.800000e-09,M1_VTO,-3.878962e-02,-0.000000e+00
2.800000e-09,M1_KP,1.560768e+03,0.000000e+00
2.800000e-09,M1_MU,0.000000e+00,0.000000e+00
2.800000e-09,M1_COX,0.000000e+00,0.000000e+00
2.800000e-09,C1,1.528954e+07,0.000000e+00
2.900000e-09,V1,3.509424e-02,1.000000e+00
2.900000e-09,V2,-3.878962e-02,0.000000e+00
2.900000e-09,R1,-1.560764e-05,0.000000e+00
2.900000e-09,M1_W,7.803831e+04,0.000000e+00
2.900000e-09,M1_L,-1.560766e+05,-0.000000e+00
2.900000e-09,M1_VTO,-3.878956e-02,-0.000000e+00
2.900000e-09,M1_KP,1.560766e+03,0.000000e+00
2.900000e-09,M1_MU,0.000000e+00,0.000000e+00
2.900000e-09,M1_COX,0.000000e+00,0.000000e+00
2.900000e-09,C1,6.173454e+06,0.000000e+00
3.000000e-09,V1,3.509424e-02,1.000000e+00
3.000000e-09,V2,-3.878956e-02,0.000000e+00
3.000000e-09,R1,-1.560764e-05,0.000000e+00
3.000000e-09,M1_W,7.803826e+04,0.000000e+00
3.000000e-09,M1_L,-1.560765e+05,-0.000000e+00
3.000000e-09,M1_VTO,-3.878953e-02,-0.000000e+00
3.000000e-09,M1_KP,1.560765e+03,0.000000e+00
3.000000e-09,M1_MU,0.000000e+00,0.000000e+00
3.000000e-09,M1_COX,0.000000e+00,0.000000e+00
3.000000e-09,C1,2.492653e+06,0.000000e+00
3.100000e-09,V1,3.509424e-02,1.000000e+00
3.100000e-09,V2,-3.878953e-02,0.000000e+00
3.100000e-09,R1,-1.560764e-05,0.000000e+00
3.100000e-09,M1_W,7.803824e+04,0.000000e+00
3.100000e-09,M1_L,-1.560765e+05,-0.000000e+00
3.100000e-09,M1_VTO,-3.878952e-02,-0.000000e+00
3.100000e-09,M1_KP,1.560765e+03,0.000000e+00
3.100000e-09,M1_MU,0.000000e+00,0.000000e+00
3.100000e-09,M1_COX,0.000000e+00,0.000000e+00
3.100000e-09,C1,1.006458e+06,0.000000e+00
3.200000e-09,V1,3.509424e-02,1.000000e+00
3.200000e-09,V2,-3.878952e-02,0.000000e+00
3.200000e-09,R1,-1.560764e-05,0.000000e+00
3.200000e-09,M1_W,7.803823e+04,0.000000e+00
3.200000e-09,M1_L,-1.560765e+05,-0.000000e+00
3.200000e-09,M1_VTO,-3.878952e-02,-0.000000e+00
3.200000e-09,M1_KP,1.560765e+03,0.000000e+00
3.200000e-09,M1_MU,0.000000e+00,0.000000e+00
3.200000e-09,M1_COX,0.000000e+00,0.000000e+00
3.200000e-09,C1,4.063770e+05,0.000000e+00
3.300000e-09,V1,3.509424e-02,1.000000e+00
3.300000e-09,V2,-3.878952e-02,0.000000e+00
3.300000e-09,R1,-1.560764e-05,0.000000e+00
3.300000e-09,M1_W,7.803822e+04,0.000000e+00
3.300000e-09,M1_L,-1.560764e+05,-0.000000e+00
3.300000e-09,M1_VTO,-3.878952e-02,-0.000000e+00
3.300000e-09,M1_KP,1.560764e+03,0.000000e+00
3.300000e-09,M1_MU,0.000000e+00,0.000000e+00
3.300000e-09,M1_COX,0.000000e+00,0.000000e+00
3.300000e-09,C1,1.640827e+05,0.000000e+00
3.400000e-09,V1,3.509424e-02,1.000000e+00
3.400000e-09,V2,-3.878952e-02,0.000000e+00
3.400000e-09,R1,-1.560764e-05,0.000000e+00
3.400000e-09,M1_W,7.803822e+04,0.000000e+00
3.400000e-09,M1_L,-1.560764e+05,-0.000000e+00
3.400000e-09,M1_VTO,-3.878952e-02,-0.000000e+00
3.400000e-09,M1_KP,1.560764e+03,0.000000e+00
3.400000e-09,M1_MU,0.000000e+00,0.000000e+00
3.400000e-09,M1_COX,0.000000e+00,0.000000e+00
3.400000e-09,C1,6.625160e+04,0.000000e+00
3.500000e-09,V1,3.509424e-02,1.000000e+00
3.500000e-09,V2,-3.878952e-02,0.000000e+00
3.500000e-09,R1,-1.560764e-05,0.000000e+00
3.500000e-09,M1_W,7.803822e+04,0.000000e+00
3.500000e-09,M1_L,-1.560764e+05,-0.000000e+00
3.500000e-09,M1_VTO,-3.878952e-02,-0.000000e+00
3.500000e-09,M1_KP,1.560764e+03,0.000000e+00
3.500000e-09,M1_MU,0.000000e+00,0.000000e+00
3.500000e-09,M1_COX,0.000000e+00,0.000000e+00
3.500000e-09,C1,2.675038e+04,0.000000e+00
3.600000e-09,V1,3.509424e-02,1.000000e+00
3.600000e-09,V2,-3.878952e-02,0.000000e+00
3.600000e-09,R1,-1.560764e-05,0.000000e+00
3.600000e-09,M1_W,7.803822e+04,0.000000e+00
3.600000e-09,M1_L,-1.560764e+05,-0.000000e+00
3.600000e-09,M1_VTO,-3.878952e-02,-0.000000e+00
3.600000e-09,M1_KP,1.560764e+03,0.000000e+00
3.600000e-09,M1_MU,0.000000e+00,0.000000e+00
3.600000e-09,M1_COX,0.000000e+00,0.000000e+00
3.600000e-09,C1,1.080099e+04,0.000000e+00
3.700000e-09,V1,3.509424e-02,1.000000e+00
3.700000e-09,V2,-3.878952e-02,0.000000e+00
3.700000e-09,R1,-1.560764e-05,0.000000e+00
3.700000e-09,M1_W,7.803822e+04,0.000000e+00
3.700000e-09,M1_L,-1.560764e+05,-0.000000e+00
3.700000e-09,M1_VTO,-3.878952e-02,-0.000000e+00
3.700000e-09,M1_KP,1.560764e+03,0.000000e+00
3.700000e-09,M1_MU,0.000000e+00,0.000000e+00
3.700000e-09,M1_COX,0.000000e+00,0.000000e+00
3.700000e-09,C1,4.361114e+03,0.000000e+00
3.800000e-09,V1,3.509424e-02,1.000000e+00
3.800000e-09,V2,-3.878952e-02,0.000000e+00
3.800000e-09,R1,-1.560764e-05,0.000000e+00
3.800000e-09,M1_W,7.803822e+04,0.000000e+00
3.800000e-09,M1_L,-1.560764e+05,-0.000000e+00
3.800000e-09,M1_VTO,-3.878952e-02,-0.000000e+00
3.800000e-09,M1_KP,1.560764e+03,0.000000e+00
3.800000e-09,M1_MU,0.000000e+00,0.000000e+00
3.800000e-09,M1_COX,0.000000e+00,0.000000e+00
3.800000e-09,C1,1.760884e+03,0.000000e+00
3.900000e-09,V1,3.509424e-02,1.000000e+00
3.900000e-09,V2,-3.878952e-02,0.000000e+00
3.900000e-09,R1,-1.560764e-05,0.000000e+00
3.900000e-09,M1_W,7.803822e+04,0.000000e+00
3.900000e-09,M1_L,-1.560764e+05,-0.000000e+00
3.900000e-09,M1_VTO,-3.878952e-02,-0.000000e+00
3.900000e-09,M1_KP,1.560764e+03,0.000000e+00
3.900000e-09,M1_MU,0.000000e+00,0.000000e+00
3.900000e-09,M1_COX,0.000000e+00,0.000000e+00
3.900000e-09,C1,7.109904e+02,0.000000e+00
4.000000e-09,V1,3.509424e-02,1.000000e+00
4.000000e-09,V2,-3.878952e-02,0.000000e+00
4.000000e-09,R1,-1.560764e-05,0.000000e+00
4.000000e-09,M1_W,7.803822e+04,0.000000e+00
4.000000e-09,M1_L,-1.560764e+05,-0.000000e+00
4.000000e-09,M1_VTO,-3.878952e-02,-0.000000e+00
4.000000e-09,M1_KP,1.560764e+03,0.000000e+00
4.000000e-09,M1_MU,0.000000e+00,0.000000e+00
4.000000e-09,M1_COX,0.000000e+00,0.000000e+00
4.000000e-09,C1,2.870768e+02,0.000000e+00
