time (s),Parameter,dV(out),dV(in)
1.210000e-03,R1,3.063571e-05,-0.000000e+00
1.210000e-03,C1,6.449624e+05,0.000000e+00
1.220000e-03,V1,4.761905e-02,1.000000e+00
1.220000e-03,R1,2.771803e-05,-0.000000e+00
1.220000e-03,C1,5.835374e+05,0.000000e+00
1.230000e-03,V1,4.761905e-02,1.000000e+00
1.230000e-03,R1,2.507821e-05,-0.000000e+00
1.230000e-03,C1,5.279624e+05,0.000000e+00
1.240000e-03,V1,4.761905e-02,1.000000e+00
1.240000e-03,R1,2.268981e-05,-0.000000e+00
1.240000e-03,C1,4.776803e+05,0.000000e+00
1.250000e-03,V1,4.761905e-02,1.000000e+00
1.250000e-03,R1,2.052888e-05,-0.000000e+00
1.250000e-03,C1,4.321869e+05,0.000000e+00
1.260000e-03,V1,4.761905e-02,1.000000e+00
1.260000e-03,R1,1.857375e-05,-0.000000e+00
1.260000e-03,C1,3.910262e+05,0.000000e+00
1.270000e-03,V1,4.761905e-02,1.000000e+00
1.270000e-03,R1,1.680482e-05,-0.000000e+00
1.270000e-03,C1,3.537856e+05,0.000000e+00
1.280000e-03,V1,4.761905e-02,1.000000e+00
1.280000e-03,R1,1.520436e-05,-0.000000e+00
1.280000e-03,C1,3.200918e+05,0.000000e+00
1.290000e-03,V1,4.761905e-02,1.000000e+00
1.290000e-03,R1,1.375633e-05,-0.000000e+00
1.290000e-03,C1,2.896068e+05,0.000000e+00
1.300000e-03,V1,4.761905e-02,1.000000e+00
1.300000e-03,R1,1.244620e-05,-0.000000e+00
1.300000e-03,C1,2.620252e+05,0.000000e+00
1.310000e-03,V1,4.761905e-02,1.000000e+00
1.310000e-03,R1,1.126085e-05,-0.000000e+00
1.310000e-03,C1,2.370705e+05,0.000000e+00
1.320000e-03,V1,4.761905e-02,1.000000e+00
1.320000e-03,R1,1.018839e-05,-0.000000e+00
1.320000e-03,C1,2.144923e+05,0.000000e+00
1.330000e-03,V1,4.761905e-02,1.000000e+00
1.330000e-03,R1,9.218063e-06,-0.000000e+00
1.330000e-03,C1,1.940645e+05,0.000000e+00
1.340000e-03,V1,4.761905e-02,1.000000e+00
1.340000e-03,R1,8.340152e-06,-0.000000e+00
1.340000e-03,C1,1.755821e+05,0.000000e+00
1.350000e-03,V1,4.761905e-02,1.000000e+00
1.350000e-03,R1,7.545852e-06,-0.000000e+00
1.350000e-03,C1,1.588600e+05,0.000000e+00
1.360000e-03,V1,4.761905e-02,1.000000e+00
1.360000e-03,R1,6.827199e-06,-0.000000e+00
1.360000e-03,C1,1.437305e+05,0.000000e+00
1.370000e-03,V1,4.761905e-02,1.000000e+00
1.370000e-03,R1,6.176990e-06,-0.000000e+00
1.370000e-03,C1,1.300419e+05,0.000000e+00
1.380000e-03,V1,4.761905e-02,1.000000e+00
1.380000e-03,R1,5.588705e-06,-0.000000e+00
1.380000e-03,C1,1.176569e+05,0.000000e+00
1.390000e-03,V1,4.761905e-02,1.000000e+00
1.390000e-03,R1,5.056447e-06,-0.000000e+00
1.390000e-03,C1,1.064515e+05,0.000000e+00
1.400000e-03,V1,4.761905e-02,1.000000e+00
1.400000e-03,R1,4.574881e-06,-0.000000e+00
1.400000e-03,C1,9.631328e+04,0.000000e+00
1.410000e-03,V1,4.761905e-02,1.000000e+00
1.410000e-03,R1,4.139178e-06,-0.000000e+00
1.410000e-03,C1,8.714059e+04,0.000000e+00
1.420000e-03,V1,4.761905e-02,1.000000e+00
1.420000e-03,R1,3.744971e-06,-0.000000e+00
1.420000e-03,C1,7.884149e+04,0.000000e+00
1.430000e-03,V1,4.761905e-02,1.000000e+00
1.430000e-03,R1,3.388307e-06,-0.000000e+00
1.430000e-03,C1,7.133277e+04,0.000000e+00
1.440000e-03,V1,4.761905e-02,1.000000e+00
1.440000e-03,R1,3.065611e-06,-0.000000e+00
1.440000e-03,C1,6.453918e+04,0.000000e+00
1.450000e-03,V1,4.761905e-02,1.000000e+00
1.450000e-03,R1,2.773648e-06,-0.000000e+00
1.450000e-03,C1,5.839259e+04,0.000000e+00
1.460000e-03,V1,4.761905e-02,1.000000e+00
1.460000e-03,R1,2.509491e-06,-0.000000e+00
1.460000e-03,C1,5.283139e+04,0.000000e+00
1.470000e-03,V1,4.761905e-02,1.000000e+00
1.470000e-03,R1,2.270492e-06,-0.000000e+00
1.470000e-03,C1,4.779983e+04,0.000000e+00
1.480000e-03,V1,4.761905e-02,1.000000e+00
1.480000e-03,R1,2.054255e-06,-0.000000e+00
1.480000e-03,C1,4.324746e+04,0.000000e+00
1.490000e-03,V1,4.761905e-02,1.000000e+00
1.490000e-03,R1,1.858611e-06,-0.000000e+00
1.490000e-03,C1,3.912866e+04,0.000000e+00
1.500000e-03,V1,4.761905e-02,1.000000e+00
1.500000e-03,R1,1.681601e-06,-0.000000e+00
1.500000e-03,C1,3.540212e+04,0.000000e+00
1.510000e-03,V1,4.761905e-02,1.000000e+00
1.510000e-03,R1,1.521448e-06,-0.000000e+00
1.510000e-03,C1,3.203049e+04,0.000000e+00
1.520000e-03,V1,4.761905e-02,1.000000e+00
1.520000e-03,R1,1.376548e-06,-0.000000e+00
1.520000e-03,C1,2.897997e+04,0.000000e+00
1.530000e-03,V1,4.761905e-02,1.000000e+00
1.530000e-03,R1,1.245449e-06,-0.000000e+00
1.530000e-03,C1,2.621997e+04,0.000000e+00
1.540000e-03,V1,4.761905e-02,1.000000e+00
1.540000e-03,R1,1.126834e-06,-0.000000e+00
1.540000e-03,C1,2.372283e+04,0.000000e+00
1.550000e-03,V1,4.761905e-02,1.000000e+00
1.550000e-03,R1,1.019517e-06,-0.000000e+00
1.550000e-03,C1,2.146351e+04,0.000000e+00
1.560000e-03,V1,4.761905e-02,1.000000e+00
1.560000e-03,R1,9.224200e-07,-0.000000e+00
1.560000e-03,C1,1.941937e+04,0.000000e+00
1.570000e-03,V1,4.761905e-02,1.000000e+00
1.570000e-03,R1,8.345705e-07,-0.000000e+00
1.570000e-03,C1,1.756990e+04,0.000000e+00
1.580000e-03,V1,4.761905e-02,1.000000e+00
1.580000e-03,R1,7.550876e-07,-0.000000e+00
1.580000e-03,C1,1.589658e+04,0.000000e+00
1.590000e-03,V1,4.761905e-02,1.000000e+00
1.590000e-03,R1,6.831745e-07,-0.000000e+00
1.590000e-03,C1,1.438262e+04,0.000000e+00
1.600000e-03,V1,4.761905e-02,1.000000e+00
1.600000e-03,R1,6.181102e-07,-0.000000e+00
1.600000e-03,C1,1.301285e+04,0.000000e+00
1.610000e-03,V1,4.761905e-02,1.000000e+00
1.610000e-03,R1,5.592426e-07,-0.000000e+00
1.610000e-03,C1,1.177353e+04,0.000000e+00
1.620000e-03,V1,4.761905e-02,1.000000e+00
1.620000e-03,R1,5.059814e-07,-0.000000e+00
1.620000e-03,C1,1.065224e+04,0.000000e+00
1.630000e-03,V1,4.761905e-02,1.000000e+00
1.630000e-03,R1,4.577927e-07,-0.000000e+00
1.630000e-03,C1,9.637741e+03,0.000000e+00
1.640000e-03,V1,4.761905e-02,1.000000e+00
1.640000e-03,R1,4.141934e-07,-0.000000e+00
1.640000e-03,C1,8.719861e+03,0.000000e+00
1.650000e-03,V1,4.761905e-02,1.000000e+00
1.650000e-03,R1,3.747464e-07,-0.000000e+00
1.650000e-03,C1,7.889398e+03,0.000000e+00
1.660000e-03,V1,4.761905e-02,1.000000e+00
1.660000e-03,R1,3.390563e-07,-0.000000e+00
1.660000e-03,C1,7.138026e+03,0.000000e+00
